p,n,f,recovery,final solve,post-ortho,cs construct,pbmgs
10,9000,2,1.1205168,0.37740065,0.24341052,0.088483744,106.18018
10,9000,3,1.4993027,0.39405432,0.15563995,0.11027582,123.87936
12,9000,0,2.0609858e-05,0.38896914,2.5351377e-07,1.5729262e-06,70.068249
12,9000,1,0.38919857,0.39381902,0.27771392,0.03078235,81.003875
12,9000,2,1.0623391,0.40433787,0.23414471,0.066008043,89.144588
12,9000,3,1.5410745,0.39770499,0.20211642,0.097326777,103.63044
6,12000,0,1.7800058e-05,0.69915333,2.2662183e-07,1.4585546e-06,382.7566
6,12000,1,0.9859675,0.69178477,0.39386322,0.13516862,485.44833
6,12000,2,2.1161983,0.63087005,0.30383285,0.23949817,599.8443
6,12000,3,4.4362063,0.74665908,0.24945857,0.40143691,698.48832
8,12000,0,1.5640777e-05,0.63537177,2.0611333e-07,1.3835088e-06,272.22167
8,12000,1,0.99220815,0.74326198,0.40978029,0.099156295,316.66016
8,12000,2,2.1659151,0.75142686,0.36139544,0.2139207,356.5605
8,12000,3,3.5746669,0.71275675,0.29253491,0.31019868,407.74126
10,12000,0,2.1297224e-05,0.75528471,2.0623207e-07,1.3791583e-06,184.94844
10,12000,1,0.92027338,0.73689795,0.50850908,0.083259557,211.79703
10,12000,2,2.0099282,0.70390321,0.42177715,0.1560452,235.0805
10,12000,3,2.687219,0.76766032,0.28889844,0.19539461,268.99635
12,12000,0,2.2656491e-05,0.70964788,2.2082693e-07,1.2958966e-06,142.40835
12,12000,1,0.70475577,0.76698411,0.48955184,0.054203954,163.604
12,12000,2,1.869972,0.71775495,0.4171797,0.11473552,182.29141
12,12000,3,2.7747625,0.73088027,0.35218534,0.17204964,205.25226
6,3000,0,7.0264149e-06,0.040253673,1.4373412e-07,1.0149346e-06,6.6931747
6,3000,1,0.052485594,0.044556201,0.026232,0.010919121,9.6198305
6,3000,2,0.12211671,0.040159134,0.020175548,0.018221483,13.536391
6,3000,3,0.27141255,0.048616663,0.018600926,0.026349763,15.746488
8,3000,0,8.0252357e-06,0.039955467,2.0422158e-07,9.877258e-07,6.7184476
8,3000,1,0.054229862,0.047457347,0.02570967,0.0068416222,7.9040649
8,3000,2,0.13595479,0.048460148,0.024094903,0.014398854,8.7808329
8,3000,3,0.23475582,0.049423177,0.020282049,0.020433164,10.377323
10,3000,0,5.9003197e-06,0.04832302,2.7095899e-07,1.0167807e-06,5.1002905
10,3000,1,0.053417452,0.049174614,0.042411528,0.0049776189,6.1581145
10,3000,2,0.12288108,0.045199227,0.032581805,0.01096825,6.9559369
10,3000,3,0.19060369,0.046403386,0.023849123,0.013560889,8.3257999
12,3000,0,5.1554137e-06,0.044934351,2.5137948e-07,9.2030192e-07,4.4905908
12,3000,1,0.041063521,0.049533958,0.035020406,0.003575872,5.4307658
12,3000,2,0.10536806,0.04577696,0.032075589,0.0084461729,6.0249551
12,3000,3,0.1735871,0.049796704,0.025624411,0.010855074,7.2666296
6,6000,0,1.570572e-05,0.17321397,1.5470303e-07,1.2765328e-06,47.397831
6,6000,1,0.22535693,0.17416072,0.098132775,0.035897272,64.279098
6,6000,2,0.4886217,0.1573133,0.073392957,0.062816458,84.315905
6,6000,3,1.1016745,0.185917,0.06168844,0.1013165,100.28697
8,6000,0,1.2643752e-05,0.15659589,2.0107836e-07,1.1583907e-06,40.428475
8,6000,1,0.23975483,0.18570248,0.096860656,0.024768543,48.824933
8,6000,2,0.53959438,0.18436877,0.091427364,0.05420974,54.363505
8,6000,3,0.88012757,0.18534876,0.07546225,0.078405579,62.703062
10,6000,0,2.1496769e-05,0.18571498,1.9321218e-07,1.1471845e-06,27.771099
10,6000,1,0.22233493,0.18137078,0.136472,0.020721786,32.925384
10,6000,2,0.49051347,0.190055,0.11334859,0.039427445,36.577678
10,6000,3,0.67900114,0.19748746,0.072305402,0.049627411,43.396754
12,6000,0,1.9090586e-05,0.17800263,2.2056823e-07,1.0601555e-06,23.398352
12,6000,1,0.18943193,0.18361614,0.13401553,0.015596713,27.695154
12,6000,2,0.44088364,0.18294104,0.11506697,0.031896937,30.460053
12,6000,3,0.70713311,0.19232995,0.092017925,0.044563338,35.830886
6,9000,0,1.6572161e-05,0.37695293,1.7384688e-07,1.6594099e-06,165.69971
6,9000,1,0.53277428,0.37830306,0.2189581,0.078801733,216.4858
6,9000,2,1.1509172,0.34628089,0.16752045,0.13615454,273.87823
6,9000,3,2.4663306,0.40571441,0.1399434,0.22660099,317.18572
8,9000,0,1.3031531e-05,0.34124923,1.6807462e-07,1.841574e-06,147.05756
8,9000,1,0.54823823,0.40385007,0.22336294,0.055975188,171.29577
8,9000,2,1.2185635,0.40942128,0.20383881,0.11949065,194.66094
8,9000,3,1.9991889,0.39445271,0.16443726,0.17469199,222.17726
10,9000,0,2.0726398e-05,0.40562148,2.1168962e-07,1.6821735e-06,82.629492
10,9000,1,0.51295011,0.3882857,0.29483265,0.047325249,96.300003
10,9000,2,1.122483,0.38257385,0.24138937,0.088533252,106.61693
10,9000,3,1.508007,0.4146381,0.15805617,0.11365471,123.69397
